,X,Y,Z,Nphi
0,335342.49983368244,4263051.682,-557.9699097,11.510533682392145
1,335344.85347323626,4263051.678,-555.728081384985,13.806529757117737
2,335345.07207401434,4263051.674,-553.48625306997,13.968129215976258
3,335357.39360553917,4263051.669,-551.2444247549549,26.23192314473819
4,335365.7362855941,4263051.665,-549.0025964399399,34.51736581437769
5,335340.8107543772,4263051.660997886,-546.760768124925,9.534349303946886
6,335338.38674778753,4263051.656,-544.51893980991,7.0531013490576155
7,335338.3770475041,4263051.652,-542.2771114948949,6.986139877253139
8,335338.1653733641,4263051.647,-540.0352831798799,6.717045015604341
9,335337.6679947902,4263051.643,-537.7934548648649,6.162281761101575
10,335337.8711795624,4263051.6389999995,-535.5516265498499,6.308315871180883
11,335337.92154270655,4263051.634683129,-533.3097982348348,6.301206913628398
12,335337.85623024986,4263051.63,-531.0679699198198,6.178504270364569
13,335338.26811757934,4263051.626,-528.8261416048048,6.532825874070919
14,335338.0257920586,4263051.621563683,-526.5843132897899,6.2333085812326345
15,335338.21904290636,4263051.617,-524.3424849747748,6.369448414012571
16,335339.0758570487,4263051.613,-522.1006566597598,7.168688541725348
17,335339.5985710032,4263051.608,-519.8588283447448,7.634049696258938
18,335336.97740636044,4263051.603999999,-517.6170000297298,4.955318769569801
19,335344.42445398617,4263051.6,-515.3751717147147,12.345299534196535
20,335342.89863818744,4263051.595,-513.1333433996997,10.761932199356512
21,335337.7092862906,4263051.591,-510.8915150846847,5.515202573777309
22,335337.5785581366,4263051.586532701,-508.6496867696697,5.327090836792405
23,335338.0059092043,4263051.5819999995,-506.4078584546547,5.697279730992408
24,335337.62163424917,4263051.578,-504.16603013963964,5.2556292775402484
25,335337.80561360804,4263051.573,-501.9242018246247,5.382285545086141
26,335338.07709696563,4263051.569,-499.68237350960965,5.596035757393871
27,335337.8335780737,4263051.565,-497.4405451945946,5.295572159355468
28,335339.4673791144,4263051.560224993,-495.1987168795796,6.871719098357451
29,335342.1874564612,4263051.556,-492.95688856456457,9.534524503955366
30,335339.9031633359,4263051.552,-490.71506024954954,7.192728290116877
31,335338.48663856456,4263051.547150234,-488.47323193453457,5.718989264095029
32,335341.15504563524,4263051.5430000005,-486.23140361951954,8.33013716625492
33,335338.94795878266,4263051.538972581,-483.9895753045045,6.070476525807502
34,335339.8716226227,4263051.534,-481.74774698948954,6.948568184874834
35,335339.0944129189,4263051.53,-479.5059186744745,6.125895220585314
36,335339.39405674685,4263051.525829028,-477.2640903594595,6.380360928427608
37,335339.83620974276,4263051.521000001,-475.02226204444446,6.776854012629332
38,335339.5205109504,4263051.509411391,-472.78043372942943,6.4187039844907385
39,335340.1906309939,4263051.497699263,-470.5386054144144,7.046158857165158
40,335341.2255252354,4263051.4860000005,-468.29677709939943,8.03852523540444
41,335340.63764143706,4263051.475,-466.0549487843844,7.408003716025443
42,335366.5959827468,4263051.461633145,-463.8131204693694,33.324602293289175
43,335343.1237314557,4263051.448,-461.5712921543544,9.810807369405678
44,335340.6326339193,4263051.435,-459.3294638393394,7.278457776619727
45,335340.212493549,4263051.421550627,-457.08763552432436,6.8168701154376885
46,335342.44814111706,4263051.413,-454.8458072093093,9.011675779418008
47,335341.36095073575,4263051.412,-452.6039788942943,7.8848399178809165
48,335340.4311558621,4263051.41,-450.3621505792793,6.9154364041138265
49,335344.46939930256,4263051.409,-448.1203222642643,10.914182194495972
50,335343.13841589756,4263051.408,-445.8784939492493,9.54263573409269
51,335341.57326625945,4263051.413724594,-443.63666563423425,7.9287895314741705
52,335343.6719373753,4263051.419,-441.3948373192193,9.978958761796218
53,335356.2966663519,4263051.425,-439.15300900420425,22.555035955983353
54,335360.00432187313,4263051.43,-436.9111806891892,26.214335523419326
55,335346.0781553166,4263051.436000001,-434.6693523741742,12.239559764901001
56,335340.80262983544,4263051.441000001,-432.42752405915917,6.9154766607777844
57,335341.15331031644,4263051.447,-430.18569574414414,7.217377923286768
58,335340.4124363412,4263051.452,-427.9438674291291,6.427881181537434
59,335342.1283872269,4263051.454,-425.70203911411414,8.081946726970964
60,335339.2770447651,4263051.451,-423.4602107990991,5.156571928939552
61,335344.79644171544,4263051.448,-421.21838248408415,10.601616678720633
62,335342.9283339054,4263051.445255662,-418.9765541690691,8.659086648143811
63,335348.1036852743,4263051.439557059,-416.7347258540541,13.754473276492233
64,335340.95776209206,4263051.422853523,-414.49289753903906,6.505066046972893
65,335342.4090708129,4263051.406106213,-412.25106922402404,7.852746168933727
66,335341.91843638115,4263051.389411182,-410.009240909009,7.258632425383457
67,335340.9658433988,4263051.37276346,-407.767412593994,6.202629543592028
68,335342.0438295025,4263051.349611436,-405.525584278979,7.154085513868423
69,335342.1575819625,4263051.324225827,-403.283755963964,7.136753082422054
70,335344.4326563911,4263051.299215064,-401.041927648949,9.281048364186784
71,335342.0287899672,4263051.274,-398.800099333934,6.745950775009692
72,335342.37340074865,4263051.249920737,-396.55827101891896,6.948791624112763
73,335342.15153032006,4263051.227364117,-394.31644270390393,6.5747242577562215
74,335341.6421771046,4263051.203876139,-392.0746143888889,5.912946321943201
75,335342.41080278484,4263051.180984913,-389.8327860738739,6.528965069150547
76,335343.1707858625,4263051.158,-387.59095775885885,7.136085862441793
77,335342.4854704089,4263051.136,-385.3491294438439,6.294801813743581
78,335342.63280246814,4263051.115,-383.10730112882885,6.285995344853407
79,335347.70494022575,4263051.093,-380.8654728138139,11.201622538981153
80,335342.83526445075,4263051.071008037,-378.62364449879885,6.176084541898035
81,335343.6063332902,4263051.053073161,-376.3818161837838,6.797908877766612
82,335343.3284704896,4263051.035302458,-374.1399878687688,6.370998845680724
83,335342.83567325654,4263051.018,-371.89815955375377,5.728971064767893
84,335346.01634408196,4263051.0,-369.65633123873874,8.760687068239264
85,335345.3181543852,4263050.982,-367.4145029237237,7.913453413870913
86,335389.06221777765,4263050.961536036,-365.17267460870875,51.53302588554808
87,335344.8473856148,4263050.941000001,-362.9308462936937,7.195065426788126
88,335348.0239557061,4263050.921,-360.6890179786787,10.248753867945055
89,335345.2633237285,4263050.9,-358.4471896636637,7.365298148274288
90,335346.850875212,4263050.879861587,-356.2053613486487,8.830043021325686
91,335347.5758165277,4263050.859,-353.96353303363367,9.432136058208021
92,335341.5513864606,4263050.839,-351.72170471861864,3.2848693523599635
93,335346.9292909172,4263050.818109639,-349.4798764036036,8.540008870445956
94,335341.3013310429,4263050.798,-347.2380480885886,2.789101373192944
95,335348.31024588895,4263050.777654092,-344.9962197735736,9.675134572041165
96,335381.3918333035,4263050.757,-342.7543914585586,42.63406175864146
97,335347.9191637479,4263050.736632921,-340.51256314354356,9.038566298141818
98,335350.10012643394,4263050.716,-338.2707348285286,11.09672415522646
99,335352.7783649617,4263050.696,-336.02890651351356,13.652067864425954
100,335346.47790489165,4263050.675,-333.78707819849853,7.228944042505585
101,335345.44233063475,4263050.655,-331.5452498834835,6.070476525807502
102,335346.317397417,4263050.634,-329.3034215684685,6.822402909173199
103,335350.3591982837,4263050.576,-327.06159325345345,10.793229391049666
104,335349.51817056315,4263050.517068979,-324.8197649384385,9.882601624213528
105,335349.62495723506,4263050.457180492,-322.57793662342345,9.920127973678794
106,335345.74118023994,4263050.397570438,-320.3361083084084,5.967065458931902
107,335345.49603361357,4263050.338242732,-318.09427999339346,5.652476345333195
108,335346.9783329757,4263050.279034944,-315.85245167837843,7.06550918394056
109,335342.10047434433,4263050.219628985,-313.6106233633634,2.1183323144203854
110,335376.2041254219,4263050.16,-311.3687950483484,36.15239580187249
111,335381.74623577314,4263050.100703841,-309.12696673333335,41.62541365393459
112,335353.33563241694,4263050.040965861,-306.8851384183183,13.145181207927484
113,335347.47534279776,4263049.981423286,-304.6433101033033,7.215754440394391
114,335346.4521282324,4263049.922189454,-302.4014817882883,6.123312411998712
115,335346.4431194963,4263049.862602478,-300.1596534732733,6.044641230637513
116,335348.8839660359,4263049.803619447,-297.91782515825827,8.416285483497797
117,335347.689737897,4263049.743865392,-295.6759968432433,7.152503289497974
118,335346.2104919552,4263049.684638821,-293.43416852822827,5.603986304811208
119,335346.45997913874,4263049.624750677,-291.19234021321324,5.7843051535700285
120,335347.084389236,4263049.542825629,-288.9505118981982,6.3685020502763825
121,335347.58972774434,4263049.452907146,-286.7086835831832,6.844627744316252
122,335352.54147913994,4263049.362134589,-284.4668552681682,11.76764643438787
123,335354.55883884936,4263049.271392535,-282.2250269531532,13.755835116543086
124,335353.92030093994,4263049.180528105,-279.98319863813816,13.088564992561386
125,335347.4444112922,4263049.08983981,-277.74137032312314,6.583779254095987
126,335349.64623331453,4263048.9994183,-275.49954200810816,8.756800634433565
127,335348.3844283631,4263048.90928176,-273.25771369309314,7.465784715215369
