xloc,yloc,zloc,phase,date_clock,tsec,t0_loc,eigval_max,eigval_mid,eigval_min,eigvec_max_e,eigvec_max_n,eigvec_max_u,eigvec_mid_e,eigvec_mid_n,eigvec_mid_u,mom,fc_p,fc_s,rad,sd,mw,energy,src_nrcv,src_misfit,mom_sdev,fc_sdev,snr_loc,orthogonality,distance_rcv,noise_level_acc
335436.2,4263140.2,396.6,2,28:04:19:09:28:38,638918,0.6147,60.62,34.21,9.57,0.83982,-0.38018,-0.38751,0.39862,0.91644,-0.03521,3.61E+06,141.4,125,6.39,6046.952,-1.629,4.04E-01,11,0.3034,2.46E+06,8.2,3.2,0.636,1332.1,2.88E-06
335372.6,4263063.4,442.8,2,28:04:19:09:28:49,638929,0.0875,27.65,21.96,14.92,0.05462,0.11551,0.9918,0.77472,-0.63155,0.03089,6.02E+06,176.4,147.1,5.25,18185.778,-1.48,2.03E+00,11,0.3125,2.55E+06,14.6,7.1,0.809,1387.8,3.56E-06
335322.7,4263116.4,407.9,2,28:04:19:09:29:44,638984,0.13,122.18,98.04,26.43,-0.58829,-0.78364,0.19957,0.65758,-0.60723,-0.44593,2.81E+06,164.1,115.6,6.16,5250.208,-1.701,2.69E-01,11,0.2881,2.07E+06,24.2,4.2,0.742,1374.1,3.03E-06
335251.5,4262997.5,357.5,2,28:04:19:09:29:47,638987,0.2846,67.69,17.54,9.69,0.84476,0.00728,-0.5351,0.00163,0.99987,0.01617,2.95E+06,139.6,130.7,6.42,4869.547,-1.687,2.57E-01,10,0.3019,1.07E+06,4.4,2.8,0.741,1347.6,2.92E-06
335278.1,4263115,353.5,2,28:04:19:09:29:50,638990,0.82,171.09,90.37,31.95,0.81973,-0.19314,-0.53919,0.21418,0.97649,-0.02416,2.24E+06,145.7,105.2,6.91,2976.937,-1.766,1.19E-01,8,0.2257,2.00E+06,20.1,2.4,0.775,1339.2,2.83E-06
335339.9,4263094.4,436.1,2,28:04:19:09:29:56,638996,0.8205,55.62,28.77,21.87,0.56253,-0.70264,-0.43573,0.30914,-0.31004,0.89906,5.61E+06,142.7,128.9,6.27,9935.184,-1.501,1.03E+00,11,0.3214,1.84E+06,6.9,6.7,0.847,1393.3,3.71E-06
335272.2,4263035.7,378,2,28:04:19:09:30:04,639004,0.1145,92.51,69.89,25.37,-0.84702,0.06467,0.52761,-0.07687,-0.99704,-0.00119,1.96E+06,169.3,119.1,6.02,3931.549,-1.805,1.38E-01,10,0.2788,1.48E+06,25.1,2.7,0.74,1359.2,3.11E-06
335317.3,4263097,432,2,28:04:19:09:30:34,639034,0.468,118.24,84.21,25.03,0.65071,-0.63199,-0.42091,0.59835,0.76805,-0.22818,2.96E+06,127.7,132.6,6.69,4320.036,-1.686,2.33E-01,10,0.2596,1.56E+06,2.4,3.3,0.807,1396.9,3.22E-06
335426.4,4263037.7,437.6,2,28:04:19:09:30:35,639035,0.9945,27.2,24.8,10.5,-0.46676,0.5308,0.70738,0.5947,-0.40362,0.69528,3.04E+06,142.7,141.2,6.05,6007.302,-1.679,3.35E-01,11,0.2972,1.58E+06,0.8,3.7,0.752,1366.8,2.95E-06
335322.9,4263091.6,427.7,2,28:04:19:09:30:38,639038,0.32,72.11,51.7,32.06,0.74411,-0.46733,-0.47738,0.44605,0.87953,-0.16573,3.34E+06,182.1,160.5,5.02,11584.126,-1.651,7.06E-01,10,0.2677,1.42E+06,10.8,4.4,0.721,1390.6,3.45E-06
335246,4262986.5,369.3,2,28:04:19:09:30:39,639039,0.4525,94.4,83.37,29.59,-0.36895,-0.89871,0.23705,0.75673,-0.43854,-0.48482,3.78E+06,147.4,157.8,5.77,8620.041,-1.615,5.83E-01,10,0.3357,1.20E+06,5.2,3.4,0.756,1360.5,3.64E-06
335413,4263112.1,427,2,28:04:19:09:30:43,639043,0.6885,104.18,92.94,31.83,-0.32027,-0.94733,-0.00168,-0.85151,0.2871,0.43875,3.16E+06,166.4,156.8,5.29,9363.49,-1.667,5.49E-01,11,0.2995,1.38E+06,4.8,3.6,0.686,1364.6,2.86E-06
335465,4263035.6,463.4,2,28:04:19:09:31:12,639072,0.949,66.5,20.48,9.61,0.93081,-0.12857,-0.34215,0.1339,0.99096,-0.00811,2.64E+06,135.8,124.9,6.57,4067.598,-1.719,1.95E-01,9,0.2876,6.72E+05,5.4,3.2,0.847,1382.3,2.46E-06
