,X,Y,Z,Temperature
0,335735.8818377157,4263051.180984913,-389.8327860738739,400.0
1,335735.76453333994,4263051.158,-387.59095775885885,399.72983333993665
2,335734.67347351374,4263051.136,-385.3491294438439,398.48280491857406
3,335733.7655834722,4263051.115,-383.10730112882885,397.4187763489055
4,335734.0925556575,4263051.093,-380.8654728138139,397.5892379707309
5,335734.4567499264,4263051.071008037,-378.62364449879885,397.79757001751716
6,335734.3530477794,4263051.053073161,-376.3818161837838,397.5446233669571
7,335733.4192574995,4263051.035302458,-374.1399878687688,396.46178585560097
8,335732.5002856773,4263051.018,-371.89815955375377,395.39358348556317
9,335731.19002995855,4263051.0,-369.65633123873874,393.93437294478827
10,335729.9595882733,4263050.982,-367.4145029237237,392.55488730198647
11,335728.5996281763,4263050.961536036,-365.17267460870875,391.0704362841868
12,335727.4214063154,4263050.941000001,-362.9308462936937,389.7690861274022
13,335725.40164855943,4263050.921,-360.6890179786787,387.6264467212867
14,335723.784010469,4263050.9,-358.4471896636637,385.88598488876676
15,335722.13176289573,4263050.879861587,-356.2053613486487,384.11093070501477
16,335720.44771303,4263050.859,-353.96353303363367,382.30403256048595
17,335718.64510209725,4263050.839,-351.72170471861864,380.3785849890156
18,335717.70351824176,4263050.818109639,-349.4798764036036,379.31423619500083
19,335716.0830767118,4263050.798,-347.2380480885886,377.5708470420813
20,335714.6807932208,4263050.777654092,-344.9962197735736,376.04568190390887
21,335712.5765502063,4263050.757,-342.7543914585586,373.8187786614552
22,335711.55530243315,4263050.736632921,-340.51256314354356,372.6747049833401
23,335710.4976668882,4263050.716,-338.2707348285286,371.494264609487
24,335708.9121129924,4263050.696,-336.02890651351356,369.7858158951136
25,335707.3393664729,4263050.675,-333.78707819849853,368.0904056237514
26,335704.7039552339,4263050.655,-331.5452498834835,365.33210112495357
27,335703.8519018528,4263050.634,-329.3034215684685,364.35690734497837
28,335701.9666543005,4263050.576,-327.06159325345345,362.4006854078673
29,335700.527891757,4263050.517068979,-324.8197649384385,360.89232281809495
30,335698.8267216254,4263050.457180492,-322.57793662342345,359.1218923640179
31,335697.9165029813,4263050.397570438,-320.3361083084084,358.1423882002487
32,335695.5829862528,4263050.338242732,-318.09427999339346,355.73942898453583
33,335695.3333551303,4263050.279034944,-315.85245167837843,355.4205313384823
34,335690.5604994185,4263050.219628985,-313.6106233633634,350.57835738862445
35,335691.6862652673,4263050.16,-311.3687950483484,351.6345356473163
36,335690.73978029867,4263050.100703841,-309.12696673333335,350.618958179405
37,335690.7623850875,4263050.040965861,-306.8851384183183,350.57193387845916
38,335689.5980456731,4263049.981423286,-304.6433101033033,349.3384573157319
39,335686.4913355071,4263049.922189454,-302.4014817882883,346.1625196866972
40,335686.0985020675,4263049.862602478,-300.1596534732733,345.70002380187805
41,335686.4642926831,4263049.803619447,-297.91782515825827,345.99661213069635
42,335685.09139681596,4263049.743865392,-295.6759968432433,344.55416220847667
43,335683.87550347677,4263049.684638821,-293.43416852822827,343.2689978263817
44,335682.7716956046,4263049.624750677,-291.19234021321324,342.09602161943076
45,335681.5506404884,4263049.542825629,-288.9505118981982,340.8347533027104
46,335681.3195398053,4263049.452907146,-286.7086835831832,340.5744398053125
47,335678.9081161178,4263049.362134589,-284.4668552681682,338.13428341224096
48,335678.05277946143,4263049.271392535,-282.2250269531532,337.2497757285963
49,335677.6158250847,4263049.180528105,-279.98319863813816,336.78408913725775
50,335677.41833057534,4263049.08983981,-277.74137032312314,336.55769853726486
51,335675.88258772995,4263048.9994183,-275.49954200810816,334.9931550498341
52,335673.7011995675,4263048.90928176,-273.25771369309314,332.78255591959123
53,335671.292193914,4263048.818160782,-271.0158853780781,330.344893913982
54,335669.73376092926,4263048.728,-268.7740570630631,328.75745280435075
55,335668.7659376677,4263048.636954828,-266.53222874804806,327.7605263747096
56,335666.32055129204,4263048.546316249,-264.2904004330331,325.2864303544235
57,335664.5808468887,4263048.456084287,-262.04857211801806,323.5178679603889
58,335663.41846626304,4263048.365623176,-259.80674380300303,322.3263220570404
59,335662.6047872116,4263048.274844603,-257.564915487988,321.4838983621692
60,335662.2399142342,4263048.184642373,-255.32308717297303,321.0899248274425
61,335661.6938471196,4263048.093291657,-253.081258857958,320.51497003375584
62,335661.9557452987,4263048.00351292,-250.83943054294298,320.7481235286535
63,335661.41071856645,4263047.919747686,-248.59760222792795,320.18265548791067
64,335661.1664620256,4263047.838972219,-246.35577391291292,319.92186202562306
65,335661.10505627404,4263047.75824072,-244.11394559789795,319.8443562740648
66,335661.54311152524,4263047.677387484,-241.87211728288293,320.2659665189362
67,335661.1875559641,4263047.59754773,-239.6302889678679,319.89405596405214
68,335660.7392902653,4263047.516965149,-237.38846065285287,319.42943155248156
69,335658.29201695067,4263047.43621153,-235.1466323378379,316.9658169506828
70,335658.2791345225,4263047.355668482,-232.90480402282287,316.9366687632173
71,335658.9454286159,4263047.275,-230.66297570780785,317.5865286158865
