x,y,z
333650.0,4270950.0,-348.952941895
333700.0,4270900.0,-324.993347168
333700.0,4270950.0,-321.824707031
333750.0,4270900.0,-297.865142822
333750.0,4270950.0,-290.382843018
333800.0,4270900.0,-270.736907959
333800.0,4270950.0,-267.568267822
333850.0,4270900.0,-243.608673096
333850.0,4270950.0,-240.278518677
333900.0,4270900.0,-216.480453491
333900.0,4270950.0,-209.344329834
333950.0,4270900.0,-189.352233887
333950.0,4270950.0,-186.18359375
334000.0,4270900.0,-162.223999023
334000.0,4270950.0,-159.055358887
334050.0,4270900.0,-134.783279419
334050.0,4270950.0,-131.927139282
334100.0,4270900.0,-103.396240234
334100.0,4270950.0,-102.910484314
334150.0,4270900.0,-72.0092010498
334150.0,4270950.0,-68.9492797852
334200.0,4270900.0,-40.6221580505
334200.0,4270950.0,-35.0324249268
334250.0,4270900.0,-9.23511600494
334250.0,4270950.0,-8.74936103821
334300.0,4270900.0,22.1519241333
334300.0,4270950.0,25.6131134033
334350.0,4270900.0,53.5389671326
334350.0,4270950.0,54.0247192383
334400.0,4270900.0,84.9260101318
334400.0,4270950.0,85.4117584229
334450.0,4270900.0,113.680961609
334450.0,4270950.0,114.166717529
334500.0,4270900.0,141.197280884
334500.0,4270950.0,141.683029175
334550.0,4270900.0,168.713607788
334550.0,4270950.0,169.199356079
334600.0,4270900.0,196.229919434
334600.0,4270950.0,196.715682983
334650.0,4270900.0,223.746246338
334650.0,4270950.0,224.231994629
334700.0,4270900.0,252.607849121
334700.0,4270950.0,251.970123291
334750.0,4270900.0,283.063293457
334750.0,4270950.0,287.172485352
334800.0,4270900.0,313.518768311
334800.0,4270950.0,312.88104248
334850.0,4270900.0,343.974212646
334850.0,4270950.0,343.336486816
334900.0,4270900.0,373.900268555
334900.0,4270950.0,373.313568115
334950.0,4270900.0,401.919921875
334950.0,4270950.0,401.333190918
335000.0,4270900.0,429.939544678
335000.0,4270950.0,430.831237793
335050.0,4270900.0,457.788696289
335050.0,4270950.0,456.545471191
335100.0,4270900.0,483.158111572
335100.0,4270950.0,481.914916992
335150.0,4270900.0,508.527526855
335150.0,4270950.0,508.047729492
335200.0,4270900.0,533.896972656
335200.0,4270950.0,537.551208496
335250.0,4270900.0,558.729492188
335250.0,4270950.0,557.48626709
335300.0,4270900.0,583.309265137
335300.0,4270950.0,586.436767578
335350.0,4270900.0,607.889099121
335350.0,4270950.0,606.645874023
335400.0,4270900.0,632.468933105
335400.0,4270950.0,631.225708008
335450.0,4270900.0,657.04876709
335450.0,4270950.0,655.805541992
335500.0,4270900.0,681.628601074
335500.0,4270950.0,683.623840332
335550.0,4270900.0,706.208374023
335550.0,4270950.0,704.965209961
335600.0,4270900.0,730.788208008
335600.0,4270950.0,731.590454102
335650.0,4270900.0,755.368041992
335650.0,4270950.0,754.124816895
335700.0,4270900.0,779.947875977
335700.0,4270950.0,779.571777344
335750.0,4270900.0,804.527709961
335750.0,4270950.0,803.284484863
335800.0,4270900.0,829.10748291
335800.0,4270950.0,827.864318848
335850.0,4270900.0,853.687316895
335850.0,4270950.0,852.444091797
335900.0,4270900.0,878.267150879
335900.0,4270950.0,876.867004395
335950.0,4270900.0,902.846984863
335950.0,4270950.0,900.422119141
336000.0,4270900.0,926.511535645
336000.0,4270950.0,923.977294922
336050.0,4270900.0,948.667053223
336050.0,4270950.0,946.1328125
336100.0,4270900.0,970.163879395
336100.0,4270950.0,967.629699707
336150.0,4270900.0,991.660766602
336150.0,4270950.0,989.126525879
336200.0,4270900.0,1013.15765381
336200.0,4270950.0,1010.62341309
336250.0,4270900.0,1034.65454102
336250.0,4270950.0,1032.12023926
336300.0,4270900.0,1056.15136719
336300.0,4270950.0,1053.6171875
336350.0,4270900.0,1077.64831543
336350.0,4270950.0,1075.11401367
336400.0,4270900.0,1099.1451416
336400.0,4270950.0,1096.61096191
336450.0,4270900.0,1120.64196777
336450.0,4270950.0,1118.10778809
336500.0,4270900.0,1142.13891602
336500.0,4270950.0,1139.60461426
336550.0,4270900.0,1163.63574219
336550.0,4270950.0,1161.1015625
336600.0,4270900.0,1185.13256836
336600.0,4270950.0,1182.59838867
336650.0,4270900.0,1206.6295166
336650.0,4270950.0,1204.09533691
336700.0,4270900.0,1228.12634277
336700.0,4270950.0,1225.5189209
336750.0,4270900.0,1249.62329102
336750.0,4270950.0,1248.35412598
336800.0,4270900.0,1270.69335938
336800.0,4270950.0,1267.55725098
336850.0,4270900.0,1289.74975586
336850.0,4270950.0,1286.52819824
336900.0,4270900.0,1308.52697754
336900.0,4270950.0,1304.93566895
336950.0,4270900.0,1327.30407715
336950.0,4270950.0,1323.71289062
337000.0,4270900.0,1346.08117676
337000.0,4270950.0,1343.30065918
337050.0,4270900.0,1364.85839844
337050.0,4270950.0,1364.89233398
337100.0,4270900.0,1383.28967285
337100.0,4270950.0,1380.7355957
337150.0,4270900.0,1400.37426758
337150.0,4270950.0,1397.48608398
337200.0,4270900.0,1417.45898438
337200.0,4270950.0,1418.27282715
337250.0,4270900.0,1433.42382812
337250.0,4270950.0,1430.53552246
337300.0,4270900.0,1448.86169434
337300.0,4270950.0,1447.6583252
