x,y,z
336841.0,4260930.59563,-221.9063354
336846.448613,4260930.59563,-214.902965829
336841.0,4260924.42932,-214.902965829
336854.89287,4260930.59563,-199.153952705
336841.0,4260914.71745,-199.153952705
336816.0,4260910.75311,-216.259037625
336835.958884,4260910.75311,-199.153952705
336816.0,4260897.02751,-199.153952705
336826.28858,4260930.59563,-230.651978952
336816.0,4260924.39813,-230.651978952
336816.0,4260930.59563,-235.262056499
336816.0,4260890.9106,-189.741213605
336834.370098,4260890.9106,-167.655926458
336841.0,4260896.71787,-167.655926458
336866.0,4260930.59563,-179.511489528
336866.0,4260922.96961,-167.655926458
336841.0,4260950.2147,-230.651978952
336849.248089,4260970.28065,-230.651978952
336866.0,4260970.28065,-212.072962815
336866.0,4260950.67949,-199.153952705
336872.241631,4260930.59563,-167.655926458
336816.0,4260970.28065,-254.302960951
336854.118319,4260890.9106,-136.15790021
336866.0,4260902.84582,-136.15790021
336816.0,4260877.1629,-167.655926458
336816.0,4260857.97354,-136.15790021
336825.44399,4261009.96568,-262.1500052
336816.0,4260991.10017,-262.1500052
336864.625957,4261009.96568,-230.651978952
336866.0,4261009.96568,-229.370114158
336875.689671,4260970.28065,-199.153952705
336766.0,4260930.59563,-257.004570393
336766.0,4260897.89224,-230.651978952
336766.0,4260890.9106,-224.015957162
336805.009389,4260890.9106,-199.153952705
339466.0,4262160.83144,983.93527591
339466.0,4262200.51647,991.554211729
339453.912177,4262160.83144,997.771044695
339460.463569,4262200.51647,997.771044695
339466.0,4262121.14642,966.777705965
339440.324791,4262121.14642,997.771044695
339466.0,4262240.2015,991.618872439
339460.559493,4262240.2015,997.771044695
336888.589048,4260930.59563,-136.15790021
336895.640422,4260970.28065,-167.655926458
336914.986799,4260970.28065,-136.15790021
337916.0,4261446.50097,1675.37418769
337923.809614,4261446.50097,1690.72762214
337916.0,4261428.79959,1690.72762214
339366.0,4258946.34431,-49.2758831354
339347.476559,4258946.34431,-10.1657952208
339366.0,4258976.80569,-10.1657952208
336766.0,4260868.96238,-199.153952705
336891.80603,4261009.96568,-199.153952705
336800.927677,4260970.28065,-262.1500052
336766.0,4260939.03746,-262.1500052
337916.0,4261486.186,1621.99997943
337917.347351,4261486.186,1627.73156964
337916.0,4261483.68788,1627.73156964
339570.490335,4258866.97426,-1081.09868763
339566.0,4258857.59987,-1081.09868763
339566.0,4258866.97426,-1069.39008696
339505.222972,4262121.14642,871.778939706
339516.0,4262158.02721,871.778939706
339516.0,4262160.83144,874.169449649
339483.942861,4262121.14642,934.7749922
339496.024545,4262160.83144,934.7749922
339516.0,4262200.51647,893.381189687
339501.830337,4262200.51647,934.7749922
337866.0,4261367.13092,1598.9217828
337871.777757,4261367.13092,1627.73156964
337866.0,4261341.82327,1627.73156964
337871.854374,4261406.81594,1564.73551715
337866.0,4261388.75688,1564.73551715
337883.704181,4261406.81594,1627.73156964
336766.0,4260851.22558,-175.569621308
336806.572772,4260851.22558,-136.15790021
339316.0,4258946.34431,32.7570631208
339294.919965,4258946.34431,52.830257274
339316.0,4258973.04018,52.830257274
336916.0,4261009.96568,-165.947095915
336916.0,4260972.0783,-136.15790021
337943.31013,4261486.186,1690.72762214
339466.0,4262279.88652,985.001503114
339455.649509,4262279.88652,997.771044695
337616.0,4260732.1705,1674.41516244
337631.388757,4260732.1705,1690.72762214
337616.0,4260698.69018,1690.72762214
337616.0,4260771.85552,1647.96988332
337654.013972,4260771.85552,1690.72762214
337832.963763,4258787.60421,745.786834716
337816.0,4258767.48626,745.786834716
337816.0,4258787.60421,767.062931559
336216.0,4259263.82452,797.162562138
336229.109123,4259263.82452,808.782887211
336216.0,4259274.75881,808.782887211
338066.0,4262002.09134,1681.17264059
338069.997697,4262002.09134,1690.72762214
338066.0,4261989.78925,1690.72762214
338066.0,4262041.77636,1646.21412559
338084.988906,4262041.77636,1690.72762214
337789.092311,4258787.60421,808.782887211
337766.0,4258754.09679,808.782887211
337766.0,4258787.60421,840.349415708
339466.0,4262041.77636,875.658972178
339440.82967,4262041.77636,934.7749922
339466.0,4262081.43907,934.7749922
339516.0,4262240.2015,898.744122811
339502.462269,4262240.2015,934.7749922
339516.0,4262279.88652,894.430792113
339499.132665,4262279.88652,934.7749922
337887.320689,4261446.50097,1564.73551715
337899.360728,4261446.50097,1627.73156964
337904.310437,4261486.186,1564.73551715
336116.0,4259501.93468,794.922894117
336116.0,4259541.61971,790.230808859
336125.352314,4259501.93468,808.782887211
336129.024377,4259541.61971,808.782887211
336116.0,4259581.30473,779.177284522
336137.944737,4259581.30473,808.782887211
338021.586551,4261883.03626,1627.73156964
338027.619114,4261922.72129,1627.73156964
338043.971953,4261883.03626,1690.72762214
338049.837912,4261922.72129,1690.72762214
338035.859233,4261962.40631,1627.73156964
338058.358143,4261962.40631,1690.72762214
336716.0,4260851.22558,-209.8750114
336716.0,4260890.9106,-248.220350207
336733.954063,4260851.22558,-199.153952705
336754.431665,4260930.59563,-262.1500052
336716.0,4260907.92938,-262.1500052
339375.69133,4258946.34431,-73.1618477155
339395.980451,4258986.02934,-73.1618477155
339370.789934,4258986.02934,-10.1657952208
339410.112465,4259025.71437,-73.1618477155
339385.525329,4259025.71437,-10.1657952208
338716.0,4262279.88652,1743.99983387
338716.0,4262259.38643,1753.72367463
338706.039816,4262279.88652,1753.72367463
337716.0,4258708.23416,831.553057098
337716.0,4258747.91918,870.31459201
337677.625815,4258708.23416,871.778939706
337714.679909,4258747.91918,871.778939706
337716.0,4258749.73698,871.778939706
336935.908931,4261009.96568,-136.15790021
336216.0,4259343.19458,854.10332579
336216.0,4259382.8796,870.855604915
336246.546086,4259343.19458,871.778939706
336217.649049,4259382.8796,871.778939706
336216.0,4259386.2729,871.778939706
337772.513386,4258708.23416,745.786834716
337766.0,4258699.81835,745.786834716
337766.0,4258708.23416,755.402097697
337801.903532,4258747.91918,745.786834716
337766.0,4258747.91918,801.771243535
337866.0,4261327.44589,1637.49054846
337887.6639,4261327.44589,1690.72762214
337896.154985,4261367.13092,1690.72762214
337907.710663,4261406.81594,1690.72762214
339514.684493,4262121.14642,808.782887211
339516.0,4262126.45788,808.782887211
339366.0,4259025.71437,21.9818894457
339341.756824,4259025.71437,52.830257274
339389.114153,4258946.34431,-136.15790021
339416.0,4259007.58158,-136.15790021
339416.0,4259025.71437,-101.858583729
336716.0,4260930.59563,-278.190968739
338066.0,4261883.03626,1733.36091887
338066.0,4261962.40631,1705.83211646
338079.084982,4261883.03626,1753.72367463
338095.725653,4261962.40631,1753.72367463
338021.800877,4261962.40631,1564.73551715
338016.0,4261931.34634,1564.73551715
338016.0,4261883.03626,1602.88396259
336166.0,4259501.93468,849.862550589
336166.0,4259581.30473,836.028345234
336193.638846,4259501.93468,871.778939706
336211.479866,4259581.30473,871.778939706
336816.0,4261009.96568,-268.823645245
336816.0,4260851.22558,-125.198955358
336851.666871,4260851.22558,-73.1618477155
336866.0,4260865.1863,-73.1618477155
336916.0,4260930.59563,-87.7472912775
336916.0,4260920.92269,-73.1618477155
330016.0,4265137.20842,-2352.99350025
330057.586689,4265137.20842,-2341.01973753
330016.0,4265104.77399,-2341.01973753
337916.0,4261327.44589,1738.33532891
337916.0,4261406.81594,1706.32333608
337928.287622,4261327.44589,1753.72367463
337949.970057,4261406.81594,1753.72367463
339416.0,4262121.14642,1022.84883784
339416.0,4262200.51647,1040.59084602
339366.834809,4262121.14642,1060.76709719
339387.147281,4262200.51647,1060.76709719
337516.0,4258708.23416,906.279642468
337566.0,4258708.23416,910.332988498
337566.0,4258753.43484,934.7749922
337516.0,4258760.35261,934.7749922
337616.0,4258708.23416,903.126991915
337616.0,4258765.23116,934.7749922
337616.0,4260613.11542,1708.98991069
337666.0,4260613.11542,1744.91133339
337666.0,4260692.48547,1734.183763
337616.0,4260692.48547,1693.27090377
337682.572639,4260613.11542,1753.72367463
337698.280563,4260692.48547,1753.72367463
336766.0,4261009.96568,-296.716382483
336716.0,4261009.96568,-321.324788501
339311.14246,4258866.97426,-73.1618477155
339316.0,4258871.01836,-73.1618477155
339271.967727,4258866.97426,-10.1657952208
339316.0,4258906.46309,-10.1657952208
339416.0,4259057.43686,-73.1618477155
339416.0,4259105.08442,-47.7340853753
339400.350406,4259105.08442,-10.1657952208
339366.0,4259105.08442,46.1245247204
339360.928441,4259105.08442,52.830257274
336116.0,4259422.56463,782.464566037
336133.233661,4259422.56463,808.782887211
336166.0,4259422.56463,842.505930222
336202.392388,4259422.56463,871.778939706
338016.0,4261832.35138,1627.73156964
338016.0,4261803.66621,1636.94817511
338036.415236,4261803.66621,1690.72762214
338066.0,4261803.66621,1747.44960629
338070.063203,4261803.66621,1753.72367463
339534.17667,4258787.60421,-1081.09868763
339516.0,4258787.60421,-1032.30317987
339547.470702,4258866.97426,-1018.10263514
339516.0,4258798.29037,-1018.10263514
339529.099363,4258866.97426,-955.106582642
339516.0,4258838.88144,-955.106582642
339563.990296,4258787.60421,-1144.09474013
339566.0,4258791.86642,-1144.09474013
339600.893708,4258866.97426,-1144.09474013
329916.0,4265057.83836,-2361.02155331
329966.0,4265137.20842,-2370.49170946
329916.0,4265137.20842,-2390.65065051
329965.852991,4265057.83836,-2341.01973753
329966.0,4265057.99357,-2341.01973753
338016.0,4261962.40631,1526.76488542
338716.0,4262041.77636,1789.90552197
338716.0,4262121.14642,1787.25790156
338686.476228,4262041.77636,1816.71972713
338681.961247,4262121.14642,1816.71972713
336120.079377,4259343.19458,745.786834716
336116.0,4259354.65822,745.786834716
336163.198365,4259343.19458,808.782887211
336166.0,4259343.19458,811.648641508
336116.0,4259343.19458,736.101893978
337733.457304,4258708.23416,808.782887211
337716.0,4258687.31982,808.782887211
337716.0,4258644.57097,745.786834716
337847.921025,4261327.44589,1564.73551715
337862.47241,4261327.44589,1627.73156964
337837.619941,4261327.44589,1501.73946465
337864.486654,4261406.81594,1501.73946465
337866.0,4261406.81594,1514.22783143
339396.770627,4258946.34431,-199.153952705
339416.0,4258988.64626,-199.153952705
338666.0,4262200.51647,1815.15790247
338666.0,4262191.8265,1816.71972713
338663.318152,4262200.51647,1816.71972713
338716.0,4262200.51647,1773.7502997
337666.0,4258708.23416,880.449358967
337666.0,4258787.60421,929.260812202
337650.723097,4258787.60421,934.7749922
337716.0,4258787.60421,896.256418478
329916.0,4264990.79843,-2341.01973753
339638.040004,4258866.97426,-1207.09079262
339616.0,4258820.27898,-1207.09079262
339616.0,4258866.97426,-1171.9132912
331916.0,4255850.91226,-1217.30724017
331952.03259,4255850.91226,-1207.09079262
331916.0,4255869.8697,-1207.09079262
338716.0,4261962.40631,1785.42989802
338682.875955,4261962.40631,1816.71972713
336216.0,4259501.93468,886.318198884
336266.0,4259501.93468,910.193209485
336266.0,4259581.30473,899.997331093
336216.0,4259581.30473,874.713349268
336316.0,4259501.93468,926.504746301
336316.0,4259581.30473,918.372358112
338116.0,4261883.03626,1800.57561788
338116.0,4261962.40631,1780.28964559
338133.220377,4261883.03626,1816.71972713
338152.876844,4261962.40631,1816.71972713
336266.0,4259343.19458,881.58338136
336266.0,4259422.56463,904.714537435
336216.0,4259422.56463,880.708369663
336316.0,4259343.19458,898.274176786
336316.0,4259422.56463,920.393566513
339216.0,4258946.34431,111.986880456
339266.0,4258946.34431,78.6806548545
339266.0,4259015.00053,115.826309769
339216.0,4258953.37389,115.826309769
339316.0,4259025.71437,81.1401140916
339272.866661,4259025.71437,115.826309769
337966.0,4261486.186,1730.56580881
337966.0,4261447.42064,1753.72367463
337983.703199,4261486.186,1753.72367463
339416.0,4262041.77636,971.905997333
339393.998298,4262041.77636,997.771044695
339416.0,4262074.46378,997.771044695
339416.0,4262279.88652,1036.46795913
339384.307314,4262279.88652,1060.76709719
338616.0,4262279.88652,1815.13392403
338616.0,4262275.80462,1816.71972713
338611.53207,4262279.88652,1816.71972713
338666.0,4262279.88652,1786.49595681
337516.0,4258628.8641,832.976813569
337566.0,4258628.8641,832.868256358
337566.0,4258660.8712,871.778939706
337516.0,4258664.07512,871.778939706
337616.0,4258628.8641,818.862636416
337616.0,4258670.72834,871.778939706
