,X,Y,Z,Pressure
0,335735.8818377157,4263051.180984913,-389.8327860738739,400.0
1,335736.0220316851,4263051.158,-387.59095775885885,399.98733168508943
2,335736.1812115468,4263051.136,-385.3491294438439,399.99054295163006
3,335735.79026785365,4263051.115,-383.10730112882885,399.4434607303772
4,335735.41363203165,4263051.093,-380.8654728138139,398.91031434487724
5,335735.08216139,4263051.071008037,-378.62364449879885,398.42298148110115
6,335734.7999589153,4263051.053073161,-376.3818161837838,397.99153450285183
7,335734.5455171565,4263051.035302458,-374.1399878687688,397.5880455125613
8,335734.2844990954,4263051.018,-371.89815955375377,397.1777969036705
9,335734.0156577562,4263051.0,-369.65633123873874,396.76000074246684
10,335733.747353904,4263050.982,-367.4145029237237,396.3426529326729
11,335733.4687764433,4263050.961536036,-365.17267460870875,395.9395845511457
12,335733.1826434199,4263050.941000001,-362.9308462936937,395.5303232318764
13,335732.8943378926,4263050.921,-360.6890179786787,395.1191360544126
14,335732.5940758028,4263050.9,-358.4471896636637,394.6960502225813
15,335732.3067193909,4263050.879861587,-356.2053613486487,394.28588720022526
16,335732.02389689325,4263050.859,-353.96353303363367,393.8802164237436
17,335731.72978386836,4263050.839,-351.72170471861864,393.46326676013604
18,335731.4563592742,4263050.818109639,-349.4798764036036,393.0670772274402
19,335731.1457532162,4263050.798,-347.2380480885886,392.63352354646923
20,335730.8573677328,4263050.777654092,-344.9962197735736,392.22225641584487
21,335730.56484332104,4263050.757,-342.7543914585586,391.8070717762139
22,335730.26310791646,4263050.736632921,-340.51256314354356,391.3825104666949
23,335729.9826222707,4263050.716,-338.2707348285286,390.9792199920327
24,335729.68577304546,4263050.696,-336.02890651351356,390.5594759482222
25,335729.39495980303,4263050.675,-333.78707819849853,390.14599895387516
26,335729.09924485977,4263050.655,-331.5452498834835,389.72739075085804
27,335728.81945878814,4263050.634,-329.3034215684685,389.32446428033666
28,335728.4611129191,4263050.576,-327.06159325345345,388.8951440264346
29,335728.11441165855,4263050.517068979,-324.8197649384385,388.47884271965927
